date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:32	44078/44078	---M--	200	added ('OK')	image/jpeg	etag:%22ac2e-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/course/course-24.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/course/course-24.jpg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:33	37511/37511	---M--	200	added ('OK')	image/jpeg	etag:%229287-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/course/course-25.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/course/course-25.jpg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:34	168/168	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a8-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/ellipse-1.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/ellipse-1.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:36	168/168	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a8-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/ellipse-2.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/ellipse-2.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:36	168/168	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a8-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/ellipse-3.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/ellipse-3.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:38	37084/37084	---M--	200	added ('OK')	image/png	etag:%2290dc-5f28d72546f80%22	https://dreamslms.dreamguystech.com/html/assets/img/bg/shape-1.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/bg/shape-1.png	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:43	1621/1621	---M--	200	added ('OK')	image/png	etag:%22655-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/bg/pattern-03.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/bg/pattern-03.png	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:46	2211/2211	---M--	200	added ('OK')	image/png	etag:%228a3-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/bg/pattern-02.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/bg/pattern-02.png	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:47	43315/43315	---M--	200	added ('OK')	image/png	etag:%22a933-5f28d72546f80%22	https://dreamslms.dreamguystech.com/html/assets/img/bg/shape-2.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/bg/shape-2.png	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:50	1324/1324	---M--	200	added ('OK')	image/png	etag:%2252c-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/bg/pattern-04.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/bg/pattern-04.png	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:51	58979/58979	---M--	200	added ('OK')	image/png	etag:%22e663-5f28d72546f80%22	https://dreamslms.dreamguystech.com/html/assets/img/students/award-01.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/students/award-01.png	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:51	3842/3842	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f02-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/award.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/award.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:52	371/371	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22173-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/check-round-1.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/check-round-1.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:53	3465/3465	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d89-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/time.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/time.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
